country,latitude,longitude
Luxembourg,49.815273,6.129583
Macao,22.198745,113.543873
Madagascar,-18.766947,46.869107
Malawi,-13.254308,34.301525
Malaysia,4.210484,101.975766
Maldives,3.202778,73.22068
Mali,17.570692,-3.996166
Malta,35.937496,14.375416
Marshall Islands,7.131474,171.184478
Martinique,14.641528,-61.024174
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Mayotte,-12.8275,45.166244
Mexico,23.634501,-102.552784
Micronesia,7.4256,150.5508
Moldova,47.411631,28.369885
Monaco,43.750298,7.412841
Mongolia,46.862496,103.846656
Montenegro,42.708678,19.374390000000002
Montserrat,16.742498,-62.187366
Morocco,31.791702,-7.09262
Mozambique,-18.665695,35.529562
Myanmar,21.916221,95.955974
Namibia,-22.95764,18.49041
Nauru,-0.522778,166.931503
Nepal,28.394857,84.124008
Netherlands,52.132633,5.291266
New Caledonia,-20.904305,165.618042
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
Niue,-19.054445,-169.867233
North America,54.526,-105.2551
North Korea,40.339852,127.510093
North Macedonia,41.608635,21.745275
Northern Cyprus,35.1264,33.4299
Northern Ireland,54.7877,-6.4923
Northern Mariana Islands,15.0979,145.6739
Norway,60.472024,8.468946
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Palau,7.5149799999999995,134.58252
Palestine,31.9522,35.2332
Panama,8.537981,-80.782127
Papua New Guinea,-6.314993,143.95555
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Pitcairn,-24.703615,-127.439308
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Qatar,25.354826,51.183884
Reunion,-21.115141,55.536384
Romania,45.943161,24.96676
Russia,61.52401,105.318756
Rwanda,-1.940278,29.873888
Saint Barthelemy,17.9,-62.8333
Saint Helena,-24.143474,-10.030696
Saint Kitts and Nevis,17.357822,-62.782998
Saint Lucia,13.909444,-60.978893
Saint Martin (French part),18.0708,-63.0501
Saint Pierre and Miquelon,46.8852,-56.3159
Saint Vincent and the Grenadines,12.984304999999999,-61.287228
Samoa,-13.759029,-172.104629
San Marino,43.94236,12.457777
Sao Tome and Principe,0.18636000000000003,6.613081
Saudi Arabia,23.885942,45.079162
Scotland,56.4907,-4.2026
Senegal,14.497401,-14.452362
Serbia,44.016521,21.005859
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapore,1.352083,103.819836
Sint Maarten (Dutch part),18.04248,-63.05483
Slovakia,48.669026,19.699024
Slovenia,46.151241,14.995463
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
South Africa,-30.559482,22.937506
South Korea,35.907757,127.766922
South Sudan,4.859363,31.571251
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
Sudan,12.862807,30.217636
Suriname,3.919305,-56.027783
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
Syria,34.802075,38.996815
Taiwan,23.69781,120.960515
Tajikistan,38.861034,71.276093
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Timor-Leste,-8.874217,125.727539
Togo,8.619543,0.824782
Tokelau,-9.200636,-171.84841
Tonga,-21.178986,-175.198242
Trinidad and Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Turkmenistan,38.969719,59.556278
Turks and Caicos Islands,21.694025,-71.797928
Tuvalu,-7.109535,179.194347
Uganda,1.373333,32.290275
Ukraine,48.379433,31.16558
United Arab Emirates,23.424076,53.847818
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
United States Virgin Islands,18.335765,-64.896335
Uruguay,-32.522779,-55.765835
Uzbekistan,41.377491,64.585262
Vanuatu,-15.376706,166.959158
Vatican,41.902916,12.453389
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Wales,52.130661,-3.783712
Wallis and Futuna,-13.768752,-177.156097
Western Sahara,24.215527,-12.885834
Yemen,15.552727,48.516388
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
